"theta1","theta2","Loss"
-0.98,-0.92,7555.78168634675
-0.98,-0.91,7550.35966209403
-0.98,-0.9,7544.99323115198
-0.98,-0.89,7539.68250468685
-0.98,-0.88,7534.42759299812
-0.98,-0.87,7529.22860550815
-0.98,-0.86,7524.08565075189
-0.98,-0.85,7518.99883636661
-0.98,-0.84,7513.96826908171
-0.98,-0.83,7508.99405470851
-0.98,-0.82,7504.07629813015
-0.98,-0.81,7499.21510329147
-0.98,-0.8,7494.41057318899
-0.98,-0.79,7489.66280986091
-0.98,-0.78,7484.97191437716
-0.98,-0.77,7480.33798682953
-0.98,-0.76,7475.76112632182
-0.98,-0.75,7471.24143096008
-0.98,-0.74,7466.77899784289
-0.98,-0.73,7462.37392305169
-0.98,-0.72,7458.02630164123
-0.98,-0.71,7453.73622763001
-0.98,-0.7,7449.50379399082
-0.98,-0.69,7445.3290926414
-0.98,-0.68,7441.21221443508
-0.98,-0.67,7437.15324915159
-0.98,-0.66,7433.15228548783
-0.98,-0.65,7429.20941104885
-0.98,-0.64,7425.32471233883
-0.98,-0.63,7421.49827475212
-0.98,-0.62,7417.73018256448
-0.98,-0.61,7414.02051892425
-0.98,-0.6,7410.36936584375
-0.98,-0.59,7406.7768041907
-0.98,-0.58,7403.24291367969
-0.98,-0.57,7399.7677728639
-0.98,-0.56,7396.35145912671
-0.98,-0.55,7392.99404867357
-0.98,-0.54,7389.69561652393
-0.98,-0.53,7386.45623650321
-0.98,-0.52,7383.27598123495
-0.98,-0.51,7380.15492213304
-0.98,-0.5,7377.09312939402
-0.98,-0.49,7374.09067198961
-0.98,-0.48,7371.14761765918
-0.98,-0.47,7368.26403290245
-0.98,-0.46,7365.43998297233
-0.98,-0.45,7362.67553186775
-0.98,-0.44,7359.97074232673
-0.98,-0.43,7357.32567581953
-0.98,-0.42,7354.74039254189
-0.98,-0.41,7352.21495140845
-0.98,-0.4,7349.74941004625
-0.98,-0.39,7347.34382478843
-0.98,-0.38,7344.99825066791
-0.98,-0.37,7342.71274141139
-0.98,-0.36,7340.48734943336
-0.98,-0.35,7338.32212583025
-0.98,-0.34,7336.21712037477
-0.98,-0.33,7334.17238151037
-0.98,-0.32,7332.18795634578
-0.98,-0.31,7330.26389064977
-0.98,-0.3,7328.400228846
-0.98,-0.29,7326.59701400806
-0.98,-0.28,7324.85428785458
-0.98,-0.27,7323.17209074456
-0.98,-0.26,7321.55046167281
-0.98,-0.25,7319.98943826552
-0.98,-0.24,7318.48905677604
-0.98,-0.23,7317.04935208074
-0.98,-0.22,7315.67035767506
-0.98,-0.21,7314.35210566972
-0.98,-0.2,7313.09462678703
-0.98,-0.19,7311.89795035744
-0.98,-0.18,7310.76210431616
-0.98,-0.17,7309.68711519998
-0.98,-0.16,7308.67300814424
-0.98,-0.15,7307.71980687995
-0.98,-0.14,7306.82753373111
-0.98,-0.13,7305.99620961208
-0.98,-0.12,7305.22585402525
-0.98,-0.11,7304.51648505878
-0.98,-0.1,7303.86811938452
-0.98,-0.09,7303.28077225607
-0.98,-0.08,7302.7544575071
-0.98,-0.07,7302.28918754967
-0.98,-0.0599999999999999,7301.88497337286
-0.98,-0.0499999999999999,7301.54182454149
-0.98,-0.04,7301.25974919503
-0.98,-0.03,7301.03875404663
-0.98,-0.02,7300.87884438236
-0.98,-0.01,7300.78002406065
-0.98,0,7300.74229551175
-0.98,0.01,7300.76565973755
-0.98,0.02,7300.85011631137
-0.98,0.03,7300.9956633781
-0.98,0.04,7301.20229765435
-0.98,0.05,7301.47001442883
-0.98,0.0600000000000001,7301.79880756295
-0.98,0.0700000000000001,7302.18866949145
-0.98,0.0800000000000001,7302.63959122333
-0.98,0.0900000000000001,7303.15156234286
-0.98,0.1,7303.72457101077
-0.98,0.11,7304.35860396563
-0.98,0.12,7305.05364652538
-0.98,0.13,7305.80968258899
-0.98,0.14,7306.62669463831
-0.98,0.15,7307.50466374013
-0.98,0.16,7308.44356954828
-0.98,0.17,7309.44339030601
-0.98,0.18,7310.50410284847
-0.98,0.19,7311.62568260537
-0.98,0.2,7312.80810360374
-0.98,0.21,7314.05133847096
-0.98,0.22,7315.35535843785
-0.98,0.23,7316.72013334197
-0.98,0.24,7318.14563163099
-0.98,0.25,7319.63182036638
-0.98,0.26,7321.17866522707
-0.98,0.27,7322.78613051336
-0.98,0.28,7324.454179151
-0.98,0.29,7326.18277269534
-0.98,0.3,7327.97187133569
-0.98,0.31,7329.82143389982
-0.98,0.32,7331.73141785858
-0.98,0.33,7333.7017793307
-0.98,0.34,7335.73247308772
-0.98,0.35,7337.82345255901
-0.98,0.36,7339.97466983706
-0.98,0.37,7342.18607568276
-0.98,0.38,7344.45761953094
-0.98,0.39,7346.78924949597
-0.98,0.4,7349.18091237752
-0.98,0.41,7351.63255366648
-0.98,0.42,7354.14411755097
-0.98,0.43,7356.71554692251
-0.98,0.44,7359.3467833823
-0.98,0.45,7362.03776724767
-0.98,0.46,7364.78843755858
-0.98,0.47,7367.59873208432
-0.98,0.48,7370.4685873303
-0.98,0.49,7373.39793854495
-0.98,0.5,7376.38671972679
-0.98,0.51,7379.43486363153
-0.98,0.52,7382.54230177938
-0.98,0.53,7385.70896446241
-0.98,0.54,7388.93478075207
-0.98,0.55,7392.21967850676
-0.98,0.56,7395.56358437958
-0.98,0.57,7398.96642382612
-0.98,0.58,7402.42812111242
-0.98,0.59,7405.94859932296
-0.98,0.6,7409.52778036882
-0.98,0.61,7413.16558499593
-0.98,0.62,7416.86193279333
-0.98,0.63,7420.61674220164
-0.98,0.64,7424.42993052159
-0.98,0.65,7428.3014139226
-0.98,0.66,7432.23110745145
-0.98,0.67,7436.21892504113
-0.98,0.68,7440.26477951966
-0.98,0.69,7444.36858261906
-0.98,0.7,7448.53024498439
-0.98,0.71,7452.74967618282
-0.98,0.72,7457.02678471288
-0.98,0.73,7461.36147801369
-0.98,0.74,7465.75366247429
-0.98,0.75,7470.20324344308
-0.98,0.76,7474.71012523726
-0.98,0.77,7479.27421115239
-0.98,0.78,7483.89540347202
-0.98,0.79,7488.5736034773
-0.98,0.8,7493.3087114568
-0.98,0.81,7498.10062671619
-0.98,0.82,7502.94924758819
-0.98,0.83,7507.8544714424
-0.98,0.84,7512.81619469528
-0.98,0.85,7517.83431282013
-0.98,0.86,7522.90872035717
-0.98,0.87,7528.03931092361
-0.98,0.88,7533.2259772238
-0.98,0.89,7538.46861105941
-0.98,0.9,7543.76710333964
-0.98,0.91,7549.12134409148
-0.98,0.92,7554.53122247001
-0.98,0.93,7559.99662676873
-0.98,0.94,7565.51744442991
-0.98,0.95,7571.09356205497
-0.98,0.96,7576.72486541491
-0.98,0.97,7582.41123946073
-0.98,0.98,7588.15256833394
-0.98,0.99,7593.94873537698
-0.98,1,7599.79962314377
-0.97,-1,7594.73825318969
-0.97,-0.99,7588.87127524249
-0.97,-0.98,7583.05900401603
-0.97,-0.97,7577.30155747025
-0.97,-0.96,7571.59905278098
-0.97,-0.95,7565.95160632932
-0.97,-0.94,7560.35933369114
-0.97,-0.93,7554.82234962651
-0.97,-0.92,7549.34076806921
-0.97,-0.91,7543.91470211626
-0.97,-0.9,7538.54426401744
-0.97,-0.89,7533.22956516488
-0.97,-0.88,7527.97071608269
-0.97,-0.87,7522.76782641653
-0.97,-0.86,7517.62100492336
-0.97,-0.85,7512.53035946109
-0.97,-0.84,7507.49599697835
-0.97,-0.83,7502.51802350429
-0.97,-0.82,7497.59654413839
-0.97,-0.81,7492.73166304036
-0.97,-0.8,7487.92348342005
-0.97,-0.79,7483.17210752741
-0.97,-0.78,7478.47763664254
-0.97,-0.77,7473.84017106576
-0.97,-0.76,7469.25981010775
-0.97,-0.75,7464.73665207971
